,confidence_power,imputed pseudocluster,conf_bool,conf_scores
5_19_2140237,0.539,0.45449300905662404,True,0.005049804726454998
5_19_2140239,0.674,0.3655903338943709,True,0.024596400196778334
5_19_2140308,0.689,0.40609276561185625,True,0.02729221940699922
5_19_2140339,0.77,0.3736027480097934,True,0.03960040441538282
5_19_2140344,0.581,0.2149860061212687,True,0.011136232187840878
5_19_2140349,0.686,0.47399269216973544,True,0.026624795718242167
5_19_2140360,0.974,0.41262681181290767,True,0.11405263228196671
5_19_2140367,0.922,0.26529903022392853,True,0.07894678573933422
5_19_2140380,0.605,0.3767929290497599,True,0.014336040316441201
5_19_2140474,0.817,0.4264541927319702,True,0.05126200443106299
5_19_2140548,0.287,0.23560974263378337,False,-0.03149562559809693
5_19_2152568,0.842,0.37560682348412683,True,0.05696482854937435
5_19_2160489,0.94,0.24340717544488852,True,0.08764327119786919
5_19_2160623,0.244,0.25902527159402794,False,-0.0383337065840863
5_19_2160639,0.647,0.23275183767529828,True,0.02033276751108759
5_19_2160648,0.957,0.23154089450734633,True,0.10047139478435452
5_19_2160699,0.167,0.4591446663462284,False,-0.053452366399855844
5_19_2160730,0.515,0.3360474248170092,True,0.0019394746538572427
5_19_2160736,0.18,0.27607550507540235,False,-0.05031768205710363
5_19_2160755,0.734,0.21941056051564772,True,0.03405689253142252
5_19_2160799,0.907,0.3348595701918395,True,0.0747753472537479
5_19_2160821,0.134,0.5974529515872967,False,-0.06094311740297642
5_19_2160965,0.693,0.3939006201399069,True,0.027664322889503268
5_19_2241126,0.07,0.18193148059520162,False,-0.08193548473769585
5_19_2270800,0.983,0.3108541757289328,True,0.12660329175186014
5_19_2270841,0.919,0.23298443191984194,True,0.07820307649249147
5_19_2271052,0.976,0.17155843875303195,True,0.11425029286756283
5_19_2271229,0.993,0.21040324164229993,True,0.14556443911119032
5_19_2350829,0.943,0.14372627086806664,True,0.08976709743592182
5_19_2350997,0.872,0.1999606901708416,True,0.06355453025935442
5_19_2351003,0.802,0.17878306216000844,True,0.04632773553341363
5_19_2351343,0.519,0.246980397429726,True,0.002408416959858717
5_19_2351451,0.873,0.2871363348723806,True,0.06421578966033914
5_19_2351472,0.92,0.2736940395593806,True,0.07867474805423824
5_19_2381438,0.527,0.3468655001649807,True,0.0032180321807427914
5_19_2381626,0.926,0.41043736278746107,True,0.07971272153198927
5_19_2391130,0.948,0.21698908456426783,True,0.09481099537654059
5_19_2460126,0.986,0.19485989161428732,True,0.127989832249934
5_20_2910440,0.677,0.40726114940985786,True,0.0249911901985721
5_20_2910460,0.848,0.46133081162775946,True,0.05897262806466663
5_20_2910466,0.379,0.3960462009851502,False,-0.016819132840631745
5_20_2910518,0.587,0.2969499391964269,True,0.011995752713096608
5_20_2910573,0.637,0.5099622255313285,True,0.018898905092334828
5_20_2910660,0.598,0.3870376918898515,True,0.01315913721116746
5_20_2910693,0.672,0.34759166063340075,True,0.024461920491450906
5_20_2910793,0.554,0.254448402402731,True,0.008091197392376182
5_20_2910826,0.91,0.21569882779051522,True,0.0754864490837458
5_20_2910839,0.754,0.2504463419886848,True,0.037352710926614296
5_20_2910857,0.545,0.6313009622074385,True,0.005771780405791849
5_20_2910863,0.861,0.41354197599881976,True,0.061145152712531514
5_20_2910888,0.682,0.21878595852803345,True,0.026195907286822195
5_20_2910895,0.491,0.41154105524981893,False,-0.0014606216142789563
5_20_2910896,0.644,0.34649203570046666,True,0.01974857724319734
5_20_2910913,0.684,0.32592566410696666,True,0.026307552326922057
5_20_2910929,0.579,0.41838342493895603,True,0.01101717015085224
5_20_2910930,0.401,0.42819416188511744,False,-0.014254555528176782
5_20_2910931,0.795,0.14145487629238596,True,0.04422387750189172
5_20_2910956,0.9,0.23749606445037902,True,0.0733784067704929
5_20_2910974,0.71,0.2928848915196013,True,0.03011527542750403
5_20_2910975,0.431,0.39765920555558126,False,-0.009844352743300755
5_20_2910996,0.9,0.45920316161926855,True,0.07333151183524389
5_20_2911014,0.045,0.6960799373436812,False,-0.10154309961670394
5_20_2911019,0.639,0.45755778802448077,True,0.019045789409605773
5_20_2911037,0.889,0.3547455315678217,True,0.0694128059209449
5_20_2911041,0.872,0.37080606139071265,True,0.06384647857333048
5_20_2911065,0.222,0.30849377305770515,False,-0.042689031420394485
5_20_2911073,0.553,0.3269571423236379,True,0.007666255213707229
5_20_2911081,0.624,0.23580569307021057,True,0.017505544410237328
5_20_2911083,0.903,0.27913732700292865,True,0.07357524245507308
5_20_2911086,0.741,0.4373259632317628,True,0.03521424461305267
5_20_2911095,0.443,0.23286004304852903,False,-0.008265686078629209
5_20_2911126,0.163,0.4924635903120548,False,-0.054973093874638446
5_20_2911127,0.462,0.36488009302453545,False,-0.004976554172448688
5_20_2911136,0.681,0.2496975202074582,True,0.026009808867007544
5_20_2911138,0.649,0.30717424500940305,True,0.020892413770036367
5_20_2911144,0.713,0.3434242204986088,True,0.030530316011918246
5_20_2911160,0.812,0.3618763332667369,True,0.05074868789221998
5_20_2911162,0.432,0.3734754881709639,False,-0.00962789851241519
5_20_2911180,0.939,0.2646473879724649,True,0.08626072426259701
5_20_2911192,0.649,0.33504888659150567,True,0.02138939480639901
5_20_2911212,0.686,0.2178297836514057,True,0.02683002784434907
5_20_2911213,0.762,0.40577559909150546,True,0.03831374418410394
5_20_2911227,0.614,0.3242728574419817,True,0.015869448613759718
5_20_2911241,0.737,0.3507178917496568,True,0.03452449358550791
5_20_2911260,0.979,0.2704583141917908,True,0.11873264660470373
5_20_2911278,0.979,0.20167384281524334,True,0.1194173070670067
5_20_2911305,0.617,0.48621938660770264,True,0.016441398858895617
5_20_2911337,0.473,0.29886162259544874,False,-0.00319585957209223
5_20_2911419,0.331,0.2902323355300664,False,-0.02567162239180054
5_20_2930879,0.78,0.3703099855648575,True,0.04115631161477662
5_20_2930891,0.696,0.5986041769798394,True,0.028200912310847426
5_20_2930892,0.76,0.33932829510656665,True,0.03798026763054785
5_20_2930893,0.839,0.3568238247660267,True,0.056491389606602715
5_20_2930911,0.598,0.48408665198039263,True,0.013205682099883709
5_20_3020218,0.611,0.2067314907967782,True,0.015300687747459407
5_20_3020332,0.497,0.3271176202896747,False,-0.00040165439741901565
5_20_3020368,0.73,0.4076227018103373,True,0.03280901096951039
5_20_3020399,0.588,0.15277372129844277,True,0.01204871827752807
5_20_3020464,0.478,0.37064409062444215,False,-0.002865318938281236
5_20_3020641,0.096,0.38477931282717265,False,-0.07223118422017438
5_20_3020655,0.674,0.3006900870552508,True,0.02464323394866952
5_20_3020671,0.898,0.18878636377875233,True,0.07253859847995237
5_20_3021371,0.811,0.4914607211259001,True,0.050070326558029676
5_20_3040999,0.402,0.6331235706351541,False,-0.014188952228843421
5_20_3041230,0.91,0.40136734819511455,True,0.07536386968890862
5_20_3041257,0.436,0.3925094125764971,False,-0.009289481810790035
5_20_3041287,0.952,0.3982696782984776,True,0.09686763736293247
5_20_3041349,0.719,0.31249862853994004,True,0.031239235616946526
5_20_3041377,0.904,0.4277360623644465,True,0.07455580687796493
5_20_3041385,0.281,0.20201384293422345,False,-0.03231556395663704
5_20_3041394,0.935,0.22912834121680586,True,0.08364852116154464
5_20_3041406,0.875,0.4422151316874295,True,0.06521879728336644
5_20_3041409,0.822,0.24649479641905778,True,0.05179192078841033
5_20_3041410,0.566,0.6286282202027175,True,0.009723626995755574
5_20_3041415,0.918,0.2752608759929194,True,0.07814669440036892
5_20_3041424,0.889,0.3494019575717498,True,0.06945894913033424
5_20_3041432,0.868,0.4671706916309527,True,0.0626391240376225
5_20_3041441,0.746,0.2936967987519147,True,0.03651963881274922
5_20_3041462,0.903,0.4323115496885805,True,0.07416847410754646
5_20_3041464,0.545,0.5366983866923902,True,0.005667821688283836
5_20_3041465,0.758,0.3115685129538189,True,0.0376910330726804
5_20_3041469,0.824,0.44053810174232144,True,0.05240171994396592
5_20_3041474,0.579,0.2763113622606602,True,0.010983660431647668
5_20_3041477,0.806,0.41029303725458705,True,0.0473328132199059
5_20_3041479,0.678,0.39053262837923847,True,0.02528315638431955
5_20_3041499,0.881,0.2929293209051215,True,0.06703873044169728
5_20_3041503,0.791,0.38443514990977656,True,0.04331415610347322
5_20_3041507,0.166,0.7987451791905531,False,-0.05384448189372337
5_20_3041512,0.823,0.41074325745624873,True,0.05229435735233423
5_20_3041516,0.689,0.2867550772337821,True,0.02727069859722364
